role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Assistant off. line/off. quality control,assistant off. line/off. quality control,Specialist Coach,Quality Control,,
Assistant Off. Line/Off. Quality Control,assistant off. line/off. quality control,Specialist Coach,Quality Control,,
Coaching assistant/quality control,coaching assistant/quality control,Specialist Coach,Quality Control,,
Director of Research and Quality Control,director of research and quality control,Specialist Coach,Quality Control,,
Director of research and quality control,director of research and quality control,Specialist Coach,Quality Control,,
Inside linebackers/quality control,inside linebackers/quality control,Specialist Coach,Quality Control,,
Kickers/Quality Control,kickers/quality control,Specialist Coach,Quality Control,,
Quality control,quality control,Specialist Coach,Quality Control,,
Quality Control,quality control,Specialist Coach,Quality Control,,
Quality control/analytics,quality control/analytics,Specialist Coach,Quality Control,,
Quality control/assistant linebackers,quality control/assistant linebackers,Specialist Coach,Quality Control,,
Research and quality control,research and quality control,Specialist Coach,Quality Control,,
Special Assistant/Quality Control,special assistant/quality control,Specialist Coach,Quality Control,,
Special assistant/quality control,special assistant/quality control,Specialist Coach,Quality Control,,
Special Assistant/quality control,special assistant/quality control,Specialist Coach,Quality Control,,
Assistant defensive line/defensive quality control,assistant defensive line/defensive quality control,Specialist Coach,Quality Control - Defense,,
Assistant defensive line/quality control,assistant defensive line/quality control,Specialist Coach,Quality Control - Defense,,
Assistant linebackers/defensive quality control,assistant linebackers/defensive quality control,Specialist Coach,Quality Control - Defense,,
Assistant Quality Control / Defensive Line,assistant quality control / defensive line,Specialist Coach,Quality Control - Defense,,
Defense quality control,defense quality control,Specialist Coach,Quality Control - Defense,,
Defensive assistant/quality control,defensive assistant/quality control,Specialist Coach,Quality Control - Defense,,
Defensive Assistant/Quality Control,defensive assistant/quality control,Specialist Coach,Quality Control - Defense,,
Defensive quality control,defensive quality control,Specialist Coach,Quality Control - Defense,,
Defensive Quality Control,defensive quality control,Specialist Coach,Quality Control - Defense,,
Defensive Quality Control / Administrative Assistant,defensive quality control / administrative assistant,Specialist Coach,Quality Control - Defense,,
Defensive quality control coach,defensive quality control coach,Specialist Coach,Quality Control - Defense,,
Defensive quality control/assistant defensive line,defensive quality control/assistant defensive line,Specialist Coach,Quality Control - Defense,,
Defensive quality control/assistant linebackers,defensive quality control/assistant linebackers,Specialist Coach,Quality Control - Defense,,
Defensive quality control/coaches' assistant,defensive quality control/coaches' assistant,Specialist Coach,Quality Control - Defense,,
Defensive quality control/Coaches’ Assistant,defensive quality control/coaches’ assistant,Specialist Coach,Quality Control - Defense,,
Defensive quality control/defensive line,defensive quality control/defensive line,Specialist Coach,Quality Control - Defense,,
Defensive quality control/linebackers,defensive quality control/linebackers,Specialist Coach,Quality Control - Defense,,
Quality control /defensive Assistant Coach,quality control /defensive assistant coach,Specialist Coach,Quality Control - Defense,,
Quality Control–Defense,quality control-defense,Specialist Coach,Quality Control - Defense,,
Quality control–defense,quality control-defense,Specialist Coach,Quality Control - Defense,,
Quality control/assistant defensive line,quality control/assistant defensive line,Specialist Coach,Quality Control - Defense,,
Quality control/defense,quality control/defense,Specialist Coach,Quality Control - Defense,,
Quality control/defensive assistant,quality control/defensive assistant,Specialist Coach,Quality Control - Defense,,
WCF minority coaching assistant/defensive quality control,wcf minority coaching assistant/defensive quality control,Specialist Coach,Quality Control - Defense,,
Assistant offensive line/offensive quality control,assistant offensive line/offensive quality control,Specialist Coach,Quality Control - Offense,,
Assistant offensive line/quality control,assistant offensive line/quality control,Specialist Coach,Quality Control - Offense,,
Asst.strength and conditioning/ offensive quality control,assistantstrength and conditioning/ offensive quality control,Specialist Coach,Quality Control - Offense,,
Kicking/offensive and defensive quality control,kicking/offensive and defensive quality control,Specialist Coach,Quality Control - Offense,,
Offense Quality Control,offense quality control,Specialist Coach,Quality Control - Offense,,
Offensive assistant/quality control,offensive assistant/quality control,Specialist Coach,Quality Control - Offense,,
Offensive Assistant/quality control,offensive assistant/quality control,Specialist Coach,Quality Control - Offense,,
Offensive Assistant/Quality Control,offensive assistant/quality control,Specialist Coach,Quality Control - Offense,,
Offensive assistant/quality control–offensive line,offensive assistant/quality control-offensive line,Specialist Coach,Quality Control - Offense,,
Offensive quality control,offensive quality control,Specialist Coach,Quality Control - Offense,,
Offensive Quality Control,offensive quality control,Specialist Coach,Quality Control - Offense,,
Offensive quality control/assistant offensive line,offensive quality control/assistant offensive line,Specialist Coach,Quality Control - Offense,,
Offensive quality control/asst. ol,offensive quality control/assistant. ol,Specialist Coach,Quality Control - Offense,,
Offensive quality control/defense special projects,offensive quality control/defense special projects,Specialist Coach,Quality Control - Offense,,
Offensive quality control/offensive line,offensive quality control/offensive line,Specialist Coach,Quality Control - Offense,,
Quality control (offense),quality control (offense),Specialist Coach,Quality Control - Offense,,
Quality Control / Offensive Assistant,quality control / offensive assistant,Specialist Coach,Quality Control - Offense,,
Quality control–offense,quality control-offense,Specialist Coach,Quality Control - Offense,,
Quality Control–Offense/Administrative Assistant,quality control-offense/administrative assistant,Specialist Coach,Quality Control - Offense,,
Quality control/assistant offensive line,quality control/assistant offensive line,Specialist Coach,Quality Control - Offense,,
Quality control/offense,quality control/offense,Specialist Coach,Quality Control - Offense,,
Quality control/offensive assistant,quality control/offensive assistant,Specialist Coach,Quality Control - Offense,,
Quality control/offensive line,quality control/offensive line,Specialist Coach,Quality Control - Offense,,
Administrative Assistant/Strength and Conditioning,administrative assistant/strength and conditioning,Strength & Conditioning,Assistant Strength & Conditioning,,
Assistant conditioning coach,assistant conditioning coach,Strength & Conditioning,Assistant Strength & Conditioning,,
Assistant strength,assistant strength,Strength & Conditioning,Assistant Strength & Conditioning,,
Assistant Strength,assistant strength,Strength & Conditioning,Assistant Strength & Conditioning,,
Assistant Strength & Conditioning,assistant strength & conditioning,Strength & Conditioning,Assistant Strength & Conditioning,,
Assistant strength & conditioning,assistant strength & conditioning,Strength & Conditioning,Assistant Strength & Conditioning,,
Assistant Strength and Conditioning,assistant strength and conditioning,Strength & Conditioning,Assistant Strength & Conditioning,,
Assistant strength and conditioning,assistant strength and conditioning,Strength & Conditioning,Assistant Strength & Conditioning,,
Asst strength and conditioning,assistant strength and conditioning,Strength & Conditioning,Assistant Strength & Conditioning,,
Assistant Strength and conditioning,assistant strength and conditioning,Strength & Conditioning,Assistant Strength & Conditioning,,
Associate strength and conditioning,assistant strength and conditioning,Strength & Conditioning,Assistant Strength & Conditioning,,
Assistant strength and conditioning coach,assistant strength and conditioning coach,Strength & Conditioning,Assistant Strength & Conditioning,,
