role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup,side_of_ball
Linebackers/pass rush coordinator,linebackers/pass rush coordinator,Specialist Coach,Pass Rush Specialist,,,Both
Outside linebackers/pass rush specialist,outside linebackers/pass rush specialist,Specialist Coach,Pass Rush Specialist,,,Both
Pass rush,pass rush,Specialist Coach,Pass Rush Specialist,,,Both
Pass rush analyst/assistant linebackers,pass rush analyst/assistant linebackers,Specialist Coach,Pass Rush Specialist,,,Both
Pass rush analyst/Assistant linebackers,pass rush analyst/assistant linebackers,Specialist Coach,Pass Rush Specialist,,,Both
Pass rush coach,pass rush coach,Specialist Coach,Pass Rush Specialist,,,Both
Pass Rush Consultant,pass rush consultant,Specialist Coach,Pass Rush Specialist,,,Both
Pass rush consultant,pass rush consultant,Specialist Coach,Pass Rush Specialist,,,Both
Pass Rush Consultant/Player Development,pass rush consultant/player development,Specialist Coach,Pass Rush Specialist,,,Both
Pass rush coordinator,pass rush coordinator,Specialist Coach,Pass Rush Specialist,,,Both
Pass Rush Specialist,pass rush specialist,Specialist Coach,Pass Rush Specialist,,,Both
Pass rush specialist,pass rush specialist,Specialist Coach,Pass Rush Specialist,,,Both
Manager of football operations and player development,manager of football operations and player development,Specialist Coach,Player Development,,,Both
Player development,player development,Specialist Coach,Player Development,,,Both
Player development assistant,player development assistant,Specialist Coach,Player Development,,,Both
Player development coordinator,player development coordinator,Specialist Coach,Player Development,,,Both
Player Development Coordinator,player development coordinator,Specialist Coach,Player Development,,,Both
Senior vice president of player development,senior vice president of player development,Specialist Coach,Player Development,,,Both
Vice president of player development,vice president of player development,Specialist Coach,Player Development,,,Both
VP of player development,vp of player development,Specialist Coach,Player Development,,,Both
Assistant linebackers/quality control,assistant linebackers/quality control,Specialist Coach,Quality Control,,,Both
Assistant off. line/off. quality control,assistant off. line/off. quality control,Specialist Coach,Quality Control,,,Both
Assistant Off. Line/Off. Quality Control,assistant off. line/off. quality control,Specialist Coach,Quality Control,,,Both
Assistant wide receivers/quality control,assistant wide receivers/quality control,Specialist Coach,Quality Control,,,Both
Coaching assistant/quality control,coaching assistant/quality control,Specialist Coach,Quality Control,,,Both
Director of Research and Quality Control,director of research and quality control,Specialist Coach,Quality Control,,,Both
Director of research and quality control,director of research and quality control,Specialist Coach,Quality Control,,,Both
Inside linebackers/quality control,inside linebackers/quality control,Specialist Coach,Quality Control,,,Both
Kickers/Quality Control,kickers/quality control,Specialist Coach,Quality Control,,,Both
Quality assistant,quality assistant,Specialist Coach,Quality Control,,,Both
Quality control,quality control,Specialist Coach,Quality Control,,,Both
Quality Control,quality control,Specialist Coach,Quality Control,,,Both
Quality Control / Quarterbacks,quality control / quarterbacks,Specialist Coach,Quality Control,,,Both
Quality Control / Qurterbacks Coach,quality control / qurterbacks coach,Specialist Coach,Quality Control,,,Both
Quality control/analytics,quality control/analytics,Specialist Coach,Quality Control,,,Both
Quality control/assistant linebackers,quality control/assistant linebackers,Specialist Coach,Quality Control,,,Both
Quality control/head coach assistant,quality control/head coach assistant,Specialist Coach,Quality Control,,,Both
Quality control/quarterbacks,quality control/quarterbacks,Specialist Coach,Quality Control,,,Both
Research and quality control,research and quality control,Specialist Coach,Quality Control,,,Both
Special Assistant/Quality Control,special assistant/quality control,Specialist Coach,Quality Control,,,Both
Special assistant/quality control,special assistant/quality control,Specialist Coach,Quality Control,,,Both
Special Assistant/quality control,special assistant/quality control,Specialist Coach,Quality Control,,,Both
Tight ends/quality control,tight ends/quality control,Specialist Coach,Quality Control,,,Both
Administrative assistant to the head coach/Defensive Quality Control,administrative assistant to the head coach/defensive quality control,Specialist Coach,Quality Control - Defense,,,Defense
Assistant defensive backs/defensive quality control,assistant defensive backs/defensive quality control,Specialist Coach,Quality Control - Defense,,,Defense
Assistant Defensive Backs/Quality Control,assistant defensive backs/quality control,Specialist Coach,Quality Control - Defense,,,Defense
Assistant defensive backs/quality control,assistant defensive backs/quality control,Specialist Coach,Quality Control - Defense,,,Defense
Assistant defensive backs/secondary/assistant special teams/defensive quality control,assistant defensive backs/secondary/assistant special teams/defensive quality control,Specialist Coach,Quality Control - Defense,,,Defense
Assistant defensive line/defensive quality control,assistant defensive line/defensive quality control,Specialist Coach,Quality Control - Defense,,,Defense
Assistant defensive line/quality control,assistant defensive line/quality control,Specialist Coach,Quality Control - Defense,,,Defense
Assistant linebackers/defensive quality control,assistant linebackers/defensive quality control,Specialist Coach,Quality Control - Defense,,,Defense
Assistant Quality Control / Defensive Line,assistant quality control / defensive line,Specialist Coach,Quality Control - Defense,,,Defense
Assistant special teams/defensive quality control,assistant special teams/defensive quality control,Specialist Coach,Quality Control - Defense,,,Defense
Assistant to head coach/defensive quality control,assistant to head coach/defensive quality control,Specialist Coach,Quality Control - Defense,,,Defense
Defense quality control,defense quality control,Specialist Coach,Quality Control - Defense,,,Defense
Defensive assistant/quality control,defensive assistant/quality control,Specialist Coach,Quality Control - Defense,,,Defense
Defensive Assistant/Quality Control,defensive assistant/quality control,Specialist Coach,Quality Control - Defense,,,Defense
Defensive backs/defensive quality control,defensive backs/defensive quality control,Specialist Coach,Quality Control - Defense,,,Defense
Defensive backs/quality control,defensive backs/quality control,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality coach,defensive quality coach,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality control,defensive quality control,Specialist Coach,Quality Control - Defense,,,Defense
Defensive Quality Control,defensive quality control,Specialist Coach,Quality Control - Defense,,,Defense
Defensive Quality Control / Administrative Assistant,defensive quality control / administrative assistant,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality control coach,defensive quality control coach,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality control/assistant defensive backs,defensive quality control/assistant defensive backs,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality control/assistant defensive line,defensive quality control/assistant defensive line,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality control/assistant linebackers,defensive quality control/assistant linebackers,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality control/assistant secondary,defensive quality control/assistant secondary,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality control/coaches' assistant,defensive quality control/coaches' assistant,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality control/Coaches’ Assistant,defensive quality control/coaches’ assistant,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality control/defensive backs,defensive quality control/defensive backs,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality control/defensive line,defensive quality control/defensive line,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality control/linebackers,defensive quality control/linebackers,Specialist Coach,Quality Control - Defense,,,Defense
Defensive quality control/secondary,defensive quality control/secondary,Specialist Coach,Quality Control - Defense,,,Defense
Quality Control / Assistant Defensive Backs (Secondary) Coach,quality control / assistant defensive backs (secondary) coach,Specialist Coach,Quality Control - Defense,,,Defense
Quality control /defensive Assistant Coach,quality control /defensive assistant coach,Specialist Coach,Quality Control - Defense,,,Defense
Quality control special teams/defensive assistant,quality control special teams/defensive assistant,Specialist Coach,Quality Control - Defense,,,Defense
Quality Control–Defense,quality control-defense,Specialist Coach,Quality Control - Defense,,,Defense
Quality control–defense,quality control-defense,Specialist Coach,Quality Control - Defense,,,Defense
Quality control/assistant defensive line,quality control/assistant defensive line,Specialist Coach,Quality Control - Defense,,,Defense
Quality control/defense,quality control/defense,Specialist Coach,Quality Control - Defense,,,Defense
Quality control/defensive assistant,quality control/defensive assistant,Specialist Coach,Quality Control - Defense,,,Defense
Special teams quality control/defensive quality control,special teams quality control/defensive quality control,Specialist Coach,Quality Control - Defense,,,Defense
WCF minority coaching assistant/defensive quality control,wcf minority coaching assistant/defensive quality control,Specialist Coach,Quality Control - Defense,,,Defense
Assistant offensive line/offensive quality control,assistant offensive line/offensive quality control,Specialist Coach,Quality Control - Offense,,,Offense
Assistant offensive line/quality control,assistant offensive line/quality control,Specialist Coach,Quality Control - Offense,,,Offense
Assistant quarterbacks/offensive quality control,assistant quarterbacks/offensive quality control,Specialist Coach,Quality Control - Offense,,,Offense
Assistant tight ends/offensive quality control,assistant tight ends/offensive quality control,Specialist Coach,Quality Control - Offense,,,Offense
Assistant wide receivers/offensive quality control,assistant wide receivers/offensive quality control,Specialist Coach,Quality Control - Offense,,,Offense
Asst.strength and conditioning/ offensive quality control,assistantstrength and conditioning/ offensive quality control,Specialist Coach,Quality Control - Offense,,,Offense
Kicking/offensive and defensive quality control,kicking/offensive and defensive quality control,Specialist Coach,Quality Control - Offense,,,Offense
Offense Quality Control,offense quality control,Specialist Coach,Quality Control - Offense,,,Offense
Offensive assistant/quality control,offensive assistant/quality control,Specialist Coach,Quality Control - Offense,,,Offense
